trial,alpha,alg,group,t,t-inv
0,0.1,eval,51.0,1493.0,642.0
0,0.1,eval,103.0,2831.0,970.0
0,0.1,eval,29.0,4046.0,622.0
0,0.1,eval,80.0,4093.0,712.0
0,0.1,eval,28.0,7124.0,3622.0
0,0.1,eval,30.0,7234.0,2878.0
0,0.1,eval,27.0,8578.0,1406.0
0,0.1,eval,81.0,9259.0,1107.0
0,0.1,sprt,103.0,5888.0,2213.0
0,0.1,sprt,51.0,7210.0,2632.0
0,0.1,lilt,103.0,6385.0,101.0
0,0.1,lila,51.0,1181.0,101.0
0,0.1,lila,103.0,1290.0,101.0
0,0.1,lila,27.0,1710.0,326.0
0,0.1,lila,80.0,3552.0,152.0
0,0.1,lila,29.0,3901.0,297.0
0,0.1,lila,30.0,5675.0,273.0
0,0.1,lila,28.0,6758.0,256.0
0,0.1,lila,79.0,6890.0,124.0
0,0.1,lila,81.0,7682.0,101.0
0,0.1,lila,83.0,8511.0,534.0
0,0.1,lila,6.0,8905.0,317.0
1,0.1,eval,51.0,7438.0,1653.0
1,0.1,eval,80.0,7773.0,4825.0
1,0.1,eval,28.0,7864.0,1300.0
1,0.1,eval,103.0,8934.0,7652.0
1,0.1,eval,30.0,9129.0,657.0
1,0.1,eval,29.0,9387.0,7336.0
1,0.1,sprt,103.0,9387.0,5675.0
1,0.1,lila,37.0,205.0,101.0
1,0.1,lila,30.0,294.0,115.0
1,0.1,lila,80.0,5068.0,127.0
1,0.1,lila,51.0,6992.0,101.0
1,0.1,lila,103.0,7810.0,101.0
1,0.1,lila,29.0,8447.0,176.0
1,0.1,lila,6.0,9256.0,267.0
1,0.1,lila,28.0,9308.0,278.0
2,0.1,eval,29.0,3195.0,1328.0
2,0.1,eval,51.0,3684.0,1081.0
2,0.1,eval,103.0,3925.0,1818.0
2,0.1,eval,80.0,4131.0,1727.0
2,0.1,eval,35.0,6891.0,1964.0
2,0.1,sprt,103.0,5733.0,2249.0
2,0.1,lilt,103.0,7282.0,101.0
2,0.1,lila,71.0,101.0,1219.0
2,0.1,lila,27.0,271.0,101.0
2,0.1,lila,48.0,980.0,512.0
2,0.1,lila,103.0,2309.0,101.0
2,0.1,lila,51.0,2312.0,101.0
2,0.1,lila,80.0,2312.0,101.0
2,0.1,lila,29.0,2681.0,305.0
2,0.1,lila,105.0,3519.0,218.0
2,0.1,lila,81.0,5128.0,341.0
2,0.1,lila,35.0,6618.0,325.0
2,0.1,lila,6.0,8436.0,101.0
2,0.1,lila,28.0,9936.0,106.0
3,0.1,eval,35.0,2498.0,706.0
3,0.1,eval,103.0,4746.0,498.0
3,0.1,eval,51.0,5759.0,2857.0
3,0.1,eval,80.0,7697.0,4261.0
3,0.1,sprt,103.0,7672.0,2747.0
3,0.1,lilt,103.0,9939.0,101.0
3,0.1,lila,35.0,1070.0,142.0
3,0.1,lila,103.0,3931.0,101.0
3,0.1,lila,80.0,5122.0,124.0
3,0.1,lila,51.0,5194.0,101.0
3,0.1,lila,46.0,6881.0,101.0
3,0.1,lila,30.0,9776.0,223.0
4,0.1,eval,51.0,5714.0,1467.0
4,0.1,eval,103.0,7890.0,2373.0
4,0.1,sprt,103.0,9906.0,2373.0
4,0.1,lila,48.0,188.0,188.0
4,0.1,lila,51.0,2918.0,101.0
4,0.1,lila,103.0,5421.0,101.0
4,0.1,lila,35.0,6932.0,156.0
5,0.1,eval,51.0,323.0,122.0
5,0.1,eval,80.0,1319.0,364.0
5,0.1,eval,29.0,1337.0,364.0
5,0.1,eval,103.0,1407.0,126.0
5,0.1,eval,28.0,9627.0,1282.0
5,0.1,sprt,103.0,6702.0,1411.0
