trial,alpha,alg,group,t,t-inv
0,0.1,eval,51.0,4127.0,1186.0
0,0.1,lila,51.0,3655.0,101.0
0,0.1,lila,103.0,6438.0,101.0
0,0.1,lila,30.0,7821.0,273.0
0,0.1,lila,80.0,9058.0,152.0
2,0.1,eval,29.0,4950.0,1651.0
2,0.1,eval,80.0,6446.0,2704.0
2,0.1,lila,71.0,101.0,1219.0
2,0.1,lila,48.0,980.0,512.0
2,0.1,lila,29.0,4121.0,305.0
2,0.1,lila,80.0,4299.0,101.0
2,0.1,lila,51.0,7033.0,101.0
3,0.1,lila,35.0,2937.0,142.0
4,0.1,lila,48.0,346.0,188.0
5,0.1,eval,51.0,1360.0,122.0
5,0.1,eval,80.0,1421.0,522.0
5,0.1,eval,29.0,1466.0,364.0
5,0.1,lila,27.0,126.0,101.0
5,0.1,lila,51.0,200.0,101.0
5,0.1,lila,29.0,1319.0,199.0
5,0.1,lila,80.0,1360.0,101.0
6,0.1,lila,2.0,101.0,101.0
6,0.1,lila,5.0,165.0,101.0
7,0.1,eval,30.0,8099.0,1414.0
7,0.1,lila,30.0,3530.0,435.0
7,0.1,lila,51.0,7061.0,101.0
8,0.1,eval,51.0,9595.0,6396.0
8,0.1,lila,90.0,101.0,248.0
8,0.1,lila,6.0,2958.0,140.0
8,0.1,lila,51.0,9107.0,209.0
9,0.1,lila,6.0,683.0,101.0
10,0.1,lila,103.0,527.0,101.0
11,0.1,eval,80.0,7401.0,1332.0
11,0.1,eval,51.0,9139.0,814.0
11,0.1,lila,83.0,277.0,226.0
11,0.1,lila,28.0,1993.0,159.0
11,0.1,lila,51.0,2543.0,101.0
11,0.1,lila,80.0,6459.0,149.0
11,0.1,lila,6.0,8030.0,205.0
12,0.1,eval,80.0,8775.0,2509.0
12,0.1,eval,51.0,9247.0,3086.0
12,0.1,lila,106.0,1345.0,665.0
12,0.1,lila,80.0,2820.0,136.0
12,0.1,lila,51.0,6448.0,101.0
12,0.1,lila,29.0,6763.0,189.0
13,0.1,lila,4.0,287.0,101.0
14,0.1,eval,30.0,1442.0,940.0
14,0.1,lila,30.0,943.0,186.0
15,0.1,eval,80.0,7567.0,5921.0
15,0.1,lila,70.0,101.0,289.0
15,0.1,lila,101.0,103.0,101.0
15,0.1,lila,83.0,300.0,298.0
